Country,Indicator,Indicator_Type,SeriesCode,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Role
Austria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.05,2.6,2.41,1.85,2.16,1.98,2.22,1.62,2.1,1.83,2.19,2.76,2.89,2.16,1.47,1.54,1.86,2.39,2.92,2.61,2.19,2.18,2.64,0.0,Not Assigned
Azerbaijan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.76,2.63,2.53,0.0,0.0,0.0,0.0,2.13,2.13,0.0,6.73,6.78,6.42,6.92,7.29,6.44,5.08,5.43,5.84,4.94,6.73,5.75,7.53,0.0,Not Assigned
Bahamas,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,68.9,39.620000000000005,47.12,44.900000000000006,39.1,45.44,52.74,66.49,61.4,72.13,76.81,102.62,88.12,93.27,96.06,113.87,86.1,94.04,69.75,72.27,55.03,89.93,96.15,0.0,Not Assigned
Bahrain,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,1.23,1.07,0.0,0.0,0.0,0.0,0.38,0.54,1.1,0.51,2.67,2.0,2.35,1.8,0.58,0.81,1.14,0.8800000000000001,0.77,0.0,0.25,0.0,0.0,Not Assigned
Bangladesh,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.59,2.79,2.61,2.54,2.81,2.55,2.92,2.68,2.82,2.88,2.69,2.64,2.7,2.85,2.89,2.56,2.25,2.19,2.34,0.0,0.0,0.0,0.0,0.0,Beneficiary
Barbados,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,23.01,28.8,28.49,37.41,25.26,32.67,39.93,28.1,25.85,21.28,34.4,30.200000000000003,24.52,26.36,27.66,34.27,24.28,33.07,30.67,52.6,44.91,34.760000000000005,46.98,0.0,Not Assigned
Belarus,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,9.88,9.5,9.76,0.0,0.0,0.0,0.0,20.19,17.26,15.16,12.6,11.78,10.7,10.55,10.74,10.26,9.67,7.52,7.11,7.09,0.0,0.0,0.0,0.0,Not Assigned
Belgium,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.22,8.24,9.27,4.44,5.140000000000001,4.22,4.199999999999999,3.98,3.81,3.51,3.49,3.91,3.74,3.7,3.78,4.12,3.09,3.48,3.33,2.54,0.0,3.26,0.0,0.0,Not Assigned
Belize,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,17.05,25.8,33.99,25.38,86.85,28.89,31.86,32.64,33.7,92.57,120.08,112.76,128.83,85.97999999999999,104.45,98.89,112.35,113.27,111.91,102.95,77.21000000000001,93.43,83.39,0.0,Not Assigned
Bermuda,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,4.86,1.61,3.2,4.699999999999999,9.7,4.76,4.75,7.9,28.770000000000003,33.72,38.14,28.85,24.06,19.12,19.36,38.78,24.18,24.1,0.0,33.129999999999995,33.3,43.120000000000005,19.200000000000003,Not Assigned
Bhutan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.07,3.15,3.07,0.79,2.31,1.66,1.34,2.05,2.61,2.29,2.27,4.49,4.58,3.29,0.0,4.71,3.59,5.09,3.47,3.0700000000000003,7.26,0.0,0.0,0.0,Not Assigned
Bolivia (Plurinational State of),16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,14.39,16.6,19.17,14.47,12.39,10.26,10.06,11.34,12.53,Not Assigned
Bosnia and Herzegovina,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,7.18,5.89,6.47,0.0,1.64,0.0,0.0,1.65,1.67,5.55,4.45,4.109999999999999,5.17,3.84,4.23,4.88,3.9,3.69,3.47,3.78,3.93,2.95,3.19,0.0,Not Assigned
Botswana,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,12.09,14.21,17.08,13.93,15.37,13.53,14.24,14.0,14.1,14.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,18.18,0.0,0.0,Not Assigned
Brazil,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,77.77,81.12,83.05000000000001,84.38,79.08,76.92,78.6,75.56,78.58,79.92,80.47,79.63,85.22,85.15,88.72,85.72,89.47999999999999,92.52,80.54,62.95,67.69,64.34,62.38,0.0,Beneficiary
British Virgin Islands,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,14.28,13.920000000000002,27.3,52.71,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Brunei Darussalam,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.61,0.0,0.0,0.85,0.55,0.55,0.8,0.79,0.26,0.77,0.25,0.25,0.98,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Bulgaria,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,12.44,11.68,9.73,9.5,9.43,7.729999999999999,7.27,6.97,6.82,5.970000000000001,5.94,5.15,5.71,4.44,4.61,5.23,3.3000000000000003,4.33,3.89,3.56,2.98,3.91,3.38,0.0,Not Assigned
Burundi,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,15.42,16.18,12.94,17.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Cabo Verde,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,3.12,4.32,8.93,7.02,0.0,0.0,0.0,0.0,20.16,21.04,30.07,35.77,25.05,11.1,20.23,16.32,17.2,18.57,0.0,0.0,0.0,Not Assigned
Cambodia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,4.71,3.3,3.38,3.98,3.93,3.38,2.97,2.87,2.39,2.34,2.3,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beneficiary
Cameroon,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.04,4.87,6.48,6.13,0.0,0.0,0.0,0.0,4.13,6.61,5.03,4.08,4.18,0.0,0.0,11.24,9.97,12.37,0.0,0.0,13.63,0.0,0.0,0.0,Not Assigned
Canada,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.35,5.38,5.59,5.23,5.89,6.2,5.63,5.47,5.57,5.47,4.93,5.33,4.76,4.359999999999999,4.449999999999999,5.14,5.13,5.47,5.37,5.5,6.03,6.23,6.78,0.0,Torchbearer
Cayman Islands,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,30.45,14.62,0.0,20.59,33.31,19.44,6.18,12.09,23.65,45.86,50.23,0.0,0.0,25.77,25.14,0.0,0.0,4.72,10.79,3.02,4.46,0.0,0.0,0.0,Not Assigned
Chile,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,3.23,0.0,10.72,10.87,11.24,10.63,11.26,9.57,11.14,7.53,9.56,7.459999999999999,7.05,10.33,12.77,13.29,14.6,17.4,14.0,20.31,0.0,Not Assigned
China,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,2.05,1.89,1.91,1.59,1.37,1.22,1.11,1.1,0.99,0.89,0.83,0.77,0.73,0.66,0.62,0.57,0.53,0.52,0.5,0.0,0.0,0.0,Torchbearer
"China, Hong Kong Special Administrative Region",16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.64,0.97,1.01,2.28,1.96,1.48,1.51,0.77,1.52,1.99,1.47,0.72,1.12,2.54,1.11,0.91,1.15,0.95,1.97,0.96,0.89,0.9,1.21,0.0,Torchbearer
"China, Macao Special Administrative Region",16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.32,1.82,0.44,1.73,0.84,0.82,1.99,1.16,2.24,2.75,1.11,2.08,2.1,0.49,0.49,0.47,0.5,0.9,0.93,0.94,0.8600000000000001,1.2599999999999998,0.8300000000000001,1.71,Torchbearer
Colombia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,203.85,210.53,211.46,172.67000000000002,146.3,129.34,123.25,119.78,111.14,107.71,104.11,107.43,108.38,100.68,86.33000000000001,81.95,78.66,76.83,72.14,70.72999999999999,67.94,77.59,76.75,0.0,Beneficiary
Cook Islands,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Costa Rica,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,18.72,18.96,18.72,21.42,19.69,23.23,23.99,24.87,34.03,34.44,34.129999999999995,30.33,25.73,25.69,29.49,34.08,35.02,36.18,34.74,33.18,33.36,34.21,37.98,52.14999999999999,Not Assigned
Croatia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.73,5.45,4.91,4.69,5.630000000000001,4.64,5.05,4.26,4.9,3.37,4.26,3.4,3.56,3.21,2.53,2.62,3.13,3.31,1.74,2.41,2.93,2.44,2.3200000000000003,0.0,Not Assigned
Cuba,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,15.84,16.28,17.75,17.19,17.630000000000003,18.24,15.35,15.13,13.71,15.03,13.42,14.19,16.490000000000002,17.87,15.9,16.39,15.15,13.67,13.02,13.29,0.0,0.0,0.0,0.0,Not Assigned
Curaçao,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,22.05,85.91,94.58,87.93,54.650000000000006,37.49,53.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Cyprus,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.84,0.73,0.2,0.0,4.7,5.77,4.25,3.62,2.47,5.12,2.13,2.3600000000000003,5.7,3.09,2.8,3.79,3.26,1.7399999999999998,3.69,3.66,3.63,3.86,1.92,2.6100000000000003,Not Assigned
Czechia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.65,3.99,4.09,4.800000000000001,3.94,3.16,3.8,3.66,3.31,2.72,2.94,2.46,3.0,2.57,2.31,2.51,1.85,1.88,0.0,2.47,1.79,1.28,2.46,0.0,Not Assigned
Denmark,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,3.25,2.91,2.68,2.42,1.59,1.96,1.07,1.42,1.97,1.7,2.28,2.47,2.53,2.56,3.93,3.28,2.94,3.72,3.03,2.58,2.47,1.9,2.97,0.0,Torchbearer
Dominica,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.93,4.4,39.53,35.04,11.67,11.65,7.27,10.18,30.46,18.9,65.14,26.01,0.0,0.0,38.82,38.49,68.34,80.85,55.04,54.64,62.620000000000005,41.51,0.0,0.0,Not Assigned
Dominican Republic,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,14.17,12.63,14.54,21.32,24.76,77.77,68.75,66.86,74.89,73.35000000000001,75.44999999999999,75.68,67.46,19.47,52.57,0.0,45.87,34.15,29.67,28.21,26.15,31.56,37.04,0.0,Not Assigned
Ecuador,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,43.52,38.69,43.71,29.1,35.27,30.77,34.02,47.81999999999999,53.92,53.4,52.5,46.120000000000005,37.22,32.91,24.62,19.44,17.48,17.43,17.52,20.520000000000003,23.41,42.09,80.87,0.0,Not Assigned
Egypt,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.62,1.25,1.97,2.03,2.47,3.44,3.19,6.29,9.03,7.21,0.0,3.02,1.75,1.54,1.34,0.0,0.0,0.31,0.55,0.0,0.0,Not Assigned
El Salvador,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,59.6,59.95,47.16,55.68,64.57,197.36,199.8,177.87,161.05,220.71,200.01,218.41,129.26999999999998,125.02,194.46,328.81,259.7,193.73,163.35000000000002,116.26,64.86,52.6,24.06,0.0,Beneficiary
Eritrea,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Estonia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,31.700000000000003,30.47,31.77,22.24,14.04,17.35,14.01,22.16,19.86,16.07,16.21,15.12,14.62,12.03,9.62,10.52,7.689999999999999,6.74,6.53,6.01,9.67,6.02,4.62,0.0,Torchbearer
Eswatini,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,12.42,17.67,12.75,12.75,13.7,12.97,11.78,11.16,19.91,17.08,18.91,15.56,9.36,9.12,10.48,9.88,10.15,11.29,0.0,0.0,0.0,12.66,0.0,0.0,Not Assigned
Ethiopia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beneficiary
Fiji,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,2.91,2.65,7.87,7.48,7.15,5.71,9.6,6.6,6.59,6.57,6.23,6.5600000000000005,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,Not Assigned
Finland,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,8.64,9.08,7.66,5.97,8.57,6.85,6.82,7.35,7.54,6.779999999999999,6.65,6.15,4.93,4.94,4.85,4.52,4.0600000000000005,3.65,4.8100000000000005,4.41,5.3,3.81,3.75,0.0,Torchbearer
France,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,1.79,1.77,1.88,1.65,1.65,1.61,1.44,1.62,1.65,1.32,1.27,1.36,1.24,1.23,1.25,4.79,3.68,3.35,3.27,3.53,3.25,3.44,3.85,4.73,Torchbearer
French Guiana,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,29.94,22.36,60.93,39.59,44.14,40.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.3,13.3,0.0,0.0,0.0,Not Assigned
French Polynesia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,1.09,2.52,3.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Georgia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.6,6.35,7.19,0.0,23.29,31.5,25.5,26.22,20.97,16.85,15.07,0.0,0.0,0.0,5.87,0.0,3.01,7.34,7.4,2.99,1.2,0.0,0.0,0.0,Not Assigned
Germany,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,5.04,4.37,4.33,4.0600000000000005,4.12,3.87,3.66,3.29,3.07,2.97,2.93,2.72,2.43,2.5,2.63,2.5,3.51,2.95,2.85,2.26,2.82,2.5,2.47,0.0,Torchbearer
Ghana,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,2.14,1.93,2.04,2.06,1.75,1.78,1.68,1.77,1.71,1.65,1.61,2.08,2.0,1.93,1.82,1.86,2.02,1.62,1.81,5.18,5.52,5.44,0.0,Beneficiary
Gibraltar,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Greece,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,3.58,2.55,2.2,3.0,3.5700000000000003,2.98,3.53,3.91,4.14,4.82,5.039999999999999,4.5600000000000005,4.22,2.97,2.6,2.35,2.42,2.8000000000000003,2.23,2.24,2.56,3.4,0.0,Not Assigned
Greenland,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,23.14,30.15,21.21,8.81,19.34,17.58,14.08,14.11,14.14,17.72,19.52,1.78,14.24,12.48,7.15,7.16,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Grenada,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,13.96,5.56,12.94,8.28,5.48,29.86,32.34,29.43,42.48,18.53,26.21,10.41,36.18,15.37,20.32,15.11,30.82,29.72,29.51,39.06999999999999,33.95,12.03,0.0,0.0,Not Assigned
Guadeloupe,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,19.3,17.7,18.32,7.22,24.44,27.73,0.0,6.7,7.69,8.7,5.24,9.77,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Guam,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,1.25,4.95,1.23,4.9,5.49,4.26,6.68,0.61,0.61,3.04,1.82,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,Not Assigned
Guatemala,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,24.74,26.9,29.54,33.71,105.59,122.43,132.17000000000002,127.16,135.61,137.31,123.49,115.43,102.71,102.01,97.49,0.0,0.0,98.78,87.08,77.28,55.26,60.25,0.0,0.0,Beneficiary
Guinea-Bissau,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,1.12,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Guyana,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,10.01,10.53,18.81,27.48,17.23,56.120000000000005,60.60000000000001,45.66,62.94,46.79,56.27,52.5,56.2,62.45,19.84,59.59,56.74,45.64,42.69,51.5,59.53,49.46,0.0,0.0,Not Assigned
Haiti,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,5.2,6.15,6.88,9.18,10.22,30.5,28.33,30.53,28.9,0.0,20.34,0.0,34.13,42.54,56.82,123.17000000000002,Beneficiary
Holy See,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Honduras,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,47.71,51.01,51.61,56.55,49.29,42.46,119.99,134.99,163.89,190.11,219.88,245.53,243.17,213.93,192.41000000000005,165.17000000000002,162.25,119.56,112.96,122.14,106.44,114.02,104.71,0.0,Beneficiary
Hungary,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,6.06,7.58,6.04,6.8100000000000005,6.25,4.91,5.23,4.63,5.470000000000001,4.19,4.16,4.44,3.77,4.69,4.46,6.76,6.220000000000001,4.97,2.64,2.01,2.44,2.39,2.93,0.0,Not Assigned
Iceland,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,1.78,0.35,1.39,0.0,0.0,3.02,0.0,1.9,0.0,0.93,1.88,2.82,0.94,0.93,0.92,2.71,0.9,2.62,2.54,0.8200000000000001,4.130000000000001,1.62,3.1900000000000004,0.0,Not Assigned
India,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,13.53,12.81,12.39,11.81,12.19,11.64,11.43,11.37,11.38,11.18,11.18,11.32,11.14,10.61,10.81,10.01,9.46,9.24,9.1,8.87,8.81,8.79,8.47,0.0,Beneficiary
Indonesia,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,1.03,0.0,0.0,0.73,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beneficiary
Iran (Islamic Republic of),16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,7.74,7.209999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Iraq,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.32,25.32,25.88,24.46,23.93,28.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Iraq (Central Iraq),16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.22,28.31,28.51,27.15,26.73,31.74,28.75,0.0,0.0,0.0,55.86,46.870000000000005,35.32,45.88,0.0,0.0,Not Assigned
Iraq (Kurdistan Region),16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,6.85,9.55,7.74,6.57,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Ireland,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,2.95,4.08,4.03,2.8,2.24,3.79,4.390000000000001,5.37,3.45,3.54,3.58,2.78,3.3600000000000003,3.08,3.06,1.75,2.11,2.33,2.31,1.96,1.91,1.39,2.64,0.0,Not Assigned
Isle of Man,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,2.37,2.38,3.58,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Assigned
Israel,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,7.59,9.33,9.87,7.970000000000001,7.27,7.58,6.75,5.85,5.11,6.03,6.16,5.93,5.08,4.94,4.130000000000001,4.130000000000001,3.83,4.45,4.12,4.99,5.04,5.83,4.89,0.0,Not Assigned
Italy,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,4.08,3.77,3.42,2.55,0.0,3.18,3.24,3.25,3.15,3.0,2.67,2.79,2.66,2.52,2.38,2.36,2.03,1.9,1.81,1.6,1.44,1.54,1.65,0.0,Not Assigned
Jamaica,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,33.96,43.38,39.61,36.78,55.22,188.48,150.14999999999998,176.76999999999998,179.97,186.32,159.5,124.32,120.29,130.55,108.69,130.28,145.46,176.6,138.04000000000002,143.43,142.37,157.05,160.73000000000002,0.0,Not Assigned
Japan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,1.6,1.65,1.56,1.65,1.65,1.51,1.44,1.35,1.53,1.19,1.09,1.04,1.01,0.8699999999999999,0.92,0.85,0.86,0.73,0.79,0.76,0.76,0.69,0.69,0.0,Torchbearer
Jordan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.140000000000001,5.380000000000001,4.48,5.5,5.93,6.91,6.33,6.25,5.26,4.41,3.85,2.67,3.37,2.93,3.04,3.33,2.97,Not Assigned
Kazakhstan,16.1.1,Homicide,VC_IHR_PSRC,PER_100000_POP,15.26,14.13,12.82,12.91,13.47,0.0,0.0,0.0,34.19,33.010000000000005,25.47,25.73,22.62,19.7,15.69,14.54,0.0,15.23,0.0,0.0,9.71,8.9,7.99,0.0,Not Assigned
